SITE_CODE,SC_NEW,COMMON_NAM,DESIGNATED,ACRES,ADDRESS_LO,THOMAS_BRO,COMMUNITY_,MANAGING_D,COUNCIL_DI,COUNCIL_1,USE_RESTRI,MWWD_WATER,DEDIC_PK_O,SHAPE_AREA,SHAPE_LEN
S432RS,S432RS,KING PROMENADE O-P,NEIGHBORHD PARK,0.44800000,BTWN COLUMBIA & UNION ST NELY HARBOR,1289A4,CENTRE CITY,PARK AND RECREATION,2,,NONE,N,N,22596.07113980000,1333.12770772000
S433R1,S433R1,MARINA LINEAR PK ESMT,NEIGHBORHD PARK,0.17900000,J ST & 1ST AV,1289A4,CENTRE CITY,PARK AND RECREATION,2,,SEE L1203 ENTRIES,N,N,10563.49132720000,522.06592963400
S433RS,S433RS,MARINA LINEAR PARK,NEIGHBORHD PARK,0.42000000,S.D.& A.E.RY NELY OF & BTWN 1 & 3RD,1289A4,CENTRE CITY,PARK AND RECREATION,2,,NONE,N,N,14469.09233380000,1223.00074978000
S504R1,S504R1,MEMORIAL P&RC         650,COMMUNITY PARK,14.92800000,MARCY AV & 30TH ST NWLY,1289E5,SOUTHEASTERN SAN DIEGO,PARK AND RECREATION,8,,DEDIC PK/OS--ORD.,N,Y,577505.71833599999,3741.20854785000
S504RD,S504RD,MEMORIAL P&RC         650,COMMUNITY PARK,3.11200000,30TH ST & OCEANVIEW BLV SWLY,1289E5,SOUTHEASTERN SAN DIEGO,PARK AND RECREATION,8,,DEDIC PK/OS--ORD.,N,Y,205555.03270099999,1886.10377628000
N303R1,N303R1,N CLAIREMONT P&RC  450,COMMUNITY PARK,14.76000000,GENESEE AVE/BANNOCK,1248F1,CLAIREMONT MESA,PARK AND RECREATION,6,,DEDIC PK/OS--ORD.,N,Y,631519.46764499997,3613.76873116000
N402RD,N402RD,LINDBERGH PARK        433,NEIGHBORHD PARK,7.92200000,MARLESTA & ASHFORD STS,1249A3,CLAIREMONT MESA,PARK AND RECREATION,6,,DEDIC PK/OS--ORD.,N,Y,347654.47216100001,3136.53144748000
N502RD,N502RD,SERRA MESA P&RC       390,COMMUNITY PARK,20.02400000,VILLAGE GLEN DR & GLENCOLUM DR,1249D4,SERRA MESA,PARK AND RECREATION,6,,DEDIC PK/OS--ORD.,N,Y,858599.79980000004,5907.33088070000
O203RD,O203RD,PACIFIC BEACH P&RC    510,COMMUNITY PARK,1.64400000,GRESHAM ST & DIAMOND ST,1247J5,PACIFIC BEACH,PARK AND RECREATION,2,,DEDIC PK/OS--ORD.,N,Y,72411.41774370000,1078.66917571000
O211RD,O211RD,PACIFIC BEACH PARK    511,NEIGHBORHD PARK,2.47900000,FELSPAR WLY END OF,1247H6,PACIFIC BEACH,PARK AND RECREATION,2,,UNKNOWN,N,Y,106057.96640999999,1432.74701429000
O304RD,O304RD,WESTERN HILLS PARK    421,NEIGHBORHD PARK,12.77000000,KANE ST & GARFIELD RD,1248F7,CLAIREMONT MESA,PARK AND RECREATION,6,,DEDIC PK/OS--ORD.,N,Y,558580.30791500001,3267.49398132000
Q604RD,Q604RD,CITY HTS CMTY PARK    630,COMMUNITY PARK,6.42300000,LANDIS ST BTWN 44TH & HIGHLAND,1269H5,CITY HEIGHTS,PARK AND RECREATION,3,,DEDIC PK/OS--ORD.,N,Y,279306.60794299998,2131.30760759000
Q644RS,Q644RS,CITY HTS PK/44TH ST VAC,COMMUNITY PARK,0.82400000,FAIRMOUNT ELY/BTWN LANDIS 7 WIGHTMAN,1269H5,CITY HEIGHTS,PARK AND RECREATION,3,,NONE,N,N,36210.97928920000,1325.41273899000
Q645RD,Q645RD,CITY HTS COMMUNITY PARK,COMMUNITY PARK,0.49600000,"WIGHTMAN & HIGHLAND, SE CORNER",1269H5,CITY HEIGHTS,PARK AND RECREATION,3,,DEDIC PK/OS--ORD.,N,Y,21334.40756460000,843.43521588900
Q647RD,Q647RD,CITY HTS COMMUNITY PARK,COMMUNITY PARK,0.28000000,WIGHTMAN ST ELY 44TH ST,1269H5,CITY HEIGHTS,PARK AND RECREATION,3,,DEDIC PK/OS--ORD.,N,Y,11873.56304760000,678.52956398900
Q703RD,Q703RD,CLAY PARK             615,NEIGHBORHD PARK,2.20800000,SEMINOLE DR AT ART ST SLY,1270D3,EASTERN AREAS,PARK AND RECREATION,7,,DEDIC PK/OS--ORD.,N,Y,85526.47860490000,1321.87760761000
R201RS,R201RS,PT LOMA CMTY PK      550,COMMUNITY PARK,0.29000000,CATALINA AVE/SAVOY ST,1288A2,PENINSULA,PARK AND RECREATION,2,,NONE,N,N,9465.80992079000,393.60353255200
R203RD,R203RD,CABRILLO N MINI-PARK  550,NEIGHBORHD PARK,0.22600000,CANON & EVERGREEN SWLY,1288B2,PENINSULA,PARK AND RECREATION,2,,DEDIC PK/OS--ORD.,N,Y,9902.09103793000,529.44775447400
R205RD,R205RD,SUNSET CLIFFS PARK    553,REGIONAL PARK,15.92000000,SUNSET CLIFFS BLV,1267H7,PENINSULA,PARK AND RECREATION,2,,DEDIC PK/OS--ORD.,N,Y,619460.51404699998,14051.79072460000
R301RS,R301RS,NTC PARK PROPERTY,REGIONAL PARK,49.12600000,ROSECRANS SELY/NWLY HARBOR DR,1268D7,PENINSULA,PARK AND RECREATION,2,,SEE L1203 ENTRIES,N,N,2182740.65695000021,11903.52775960000
N704RD,N704RD,DAILARD NBHD PARK     372,NEIGHBORHD PARK,5.10000000,CIBOLA DR SLY LAURELRIDGE RD,1250D4,NAVAJO,PARK AND RECREATION,7,,DEDIC PK/OS--ORD.,N,Y,200494.96471500001,1967.00626527000
N706RD,N706RD,TUXEDO PARK           373,NEIGHBORHD PARK,9.37300000,TUXEDO RD WLY ROWENA,1250E4,NAVAJO,PARK AND RECREATION,7,,DEDIC PK/OS--ORD.,N,Y,439105.10629199998,3522.10047607000
O303RD,O303RD,CLAIREMONT P&RC       420,COMMUNITY PARK,10.00700000,CLAIREMONT DR & RAPPAHANNCOCK,1248E5,CLAIREMONT MESA,PARK AND RECREATION,6,,DEDIC PK/OS--ORD.,N,Y,426011.96668100002,2827.76021904000
Q644RD,Q644RD,CITY HTS CMTY PARK,COMMUNITY PARK,2.48000000,44TH ST ELY FAIRMOUNT NLY LANDIS,1269H5,CITY HEIGHTS,PARK AND RECREATION,3,,DEDIC PK/OS--ORD.,N,Y,100598.27561200000,2148.17033949000
J603RD,J603RD,LAKEVIEW NBHD PARK    230,NEIGHBORHD PARK,12.77400000,LAKECREST PT NLY OF,1209J3,SCRIPPS MIRAMAR RCH,PARK AND RECREATION,5,,UNKNOWN,N,Y,574867.73496000003,3533.09589625000
J618RD,J618RD,JERABEK PARK          230,NEIGHBORHD PARK,9.72000000,AVENIDA MAGNIFICA NLY NEGLEY,1210A4,SCRIPPS MIRAMAR RCH,PARK AND RECREATION,5,,DEDIC PK/OS--ORD.,N,Y,421788.61477400002,2980.01314267000
L101RD,L101RD,"SCRIPPS, ELLEN B PK   500",NEIGHBORHD PARK,5.60000000,COAST BLVD AT GIRARD,1227E6,LA JOLLA,PARK AND RECREATION,1,,DEDIC PK/OS--ORD.,N,Y,229208.09054400001,2641.20247715000
L201RD,L201RD,CLIFFRIDGE PARK       502,NEIGHBORHD PARK,11.19000000,TORREY PINES RD SLY SCNIC PL,1227J5,LA JOLLA,PARK AND RECREATION,1,,DEDIC PK/OS--ORD.,N,Y,467055.73318699998,2897.47819249000
L205RD,L205RD,VILLA LA JOLLA PARK   481,NEIGHBORHD PARK,5.60000000,VIA MALLORCA & VIA MARIN,1228A4,UNIVERSITY,PARK AND RECREATION,1,,DEDIC PK/OS--ORD.,N,Y,252296.69075400001,2049.12082100000
L219RD,L219RD,KELLOG PARK,NEIGHBORHD PARK,7.89600000,BTWN LA VEREDA & CM DEL ORO,1227G5,LA JOLLA,PARK AND RECREATION,1,,DEDIC PK/OS--ORD.,N,Y,349562.91982499999,3601.18368003000
L303RS,L303RS,NOBEL ATHLETIC AREA  483,COMMUNITY PARK,28.03400000,I805 & LJ VILLAGE DR SWLY OF,1228E3,UNIVERSITY,PARK AND RECREATION,1,,NONE,N,N,1407187.76726000011,5507.14137333000
L307RD,L307RD,UNIVERSITY GARDEN PK  473,NEIGHBORHD PARK,13.69400000,GOVERNOR DR & GULLSTRAND,1228E5,UNIVERSITY,PARK AND RECREATION,1,,DEDIC PK/OS--ORD.,N,Y,580274.79558999999,2907.62334399000
M105RD,M105RD,LA JOLLA P&RC         500,COMMUNITY PARK,3.39300000,PROSPECT ST & DRAPER AV,1227E7,LA JOLLA,PARK AND RECREATION,1,,DEDIC PK/OS--ORD.,N,Y,146108.84894600001,1781.31155301000
M111RD,M111RD,WINDANSEA PARK        505,NEIGHBORHD PARK,1.47800000,FERN GLEN AV & NEPTUNE PL,1247E1,LA JOLLA,PARK AND RECREATION,1,,DEDIC PK/OS--ORD.,N,Y,58080.80260760000,1810.42669346000
M117RD,M117RD,NICHOLSON'S POINT     500,NEIGHBORHD PARK,0.46400000,OCEAN FRONT WLY COAST BLVD,1227E7,LA JOLLA,PARK AND RECREATION,1,,DEDIC PK/OS--ORD.,N,Y,22210.36670870000,1572.75594780000
O802RD,O802RD,SAN CARLOS P&RC       360,COMMUNITY PARK,10.15300000,LAKE ADLON DR & LAKE BADIN AV,1250H5,NAVAJO,PARK AND RECREATION,7,,DEDIC PK/OS--ORD.,N,Y,426399.66777599999,2651.79391333000
P201R2,P201R2,CAMPLAND PARK 522,REGIONAL PARK,16.77000000,SWLY PACIFIC BCH DR & OLNEY ST,1248B6,MISSION BAY PARK,PARK AND RECREATION,2,,DEDIC PK/OS--ORD.,N,Y,933256.89946300001,5343.43949160000
P201R3,P201R3,OCEAN BEACH PARK      540,REGIONAL PARK,1.45000000,SPRAY ST & W PT LOMA,1267J5,OCEAN BEACH,PARK AND RECREATION,2,,DEDIC PK/OS--ORD.,N,Y,65718.06225839999,1080.32794109000
P201R9,P201R9,MISSION BEACH PARK    530,REGIONAL PARK,56.06900000,MISSION BLVD SLY SANTA RITA,1247H7,MISSION BEACH,PARK AND RECREATION,2,,DEDIC PK/OS--ORD.,N,Y,2168540.67193999980,26611.76749530000
P201RD,P201RD,MISSION BAY PARK,REGIONAL PARK,4233.31300000,MISSION BAY,1268B3,MISSION BAY PARK,PARK AND RECREATION,2,06,DEDIC PK/OS--ORD.,N,Y,178961064.11100000143,124527.65812199999
P302RD,P302RD,TECOLOTE P&RC         410,COMMUNITY PARK,18.27700000,TECOLOTE RD NLY MORENA,1268G1,LINDA VISTA,PARK AND RECREATION,6,,DEDIC PK/OS--ORD.,N,Y,784256.53468000004,5536.02616058000
P402RD,P402RD,KELLY STREET PARK     403,NEIGHBORHD PARK,16.87000000,KELLY ST & JACOBS,1268H1,LINDA VISTA,PARK AND RECREATION,6,,MULTIPLE,N,Y,740594.15594800003,4079.64190114000
S742RD,S742RD,BOONE NBHD PARK       491,NEIGHBORHD PARK,4.69400000,BULLOCK DR WLY DEEP DELL RD,1290G5,SKYLINE-PARADISE HLS,PARK AND RECREATION,4,,DEDIC PK/OS--ORD.,N,Y,192051.84575099999,1777.11703940000
S802RD,S802RD,SKYLINE P&RC          690,COMMUNITY PARK,10.50800000,SKYLINE DR AT SUNNYSIDE,1290H4,SKYLINE-PARADISE HLS,PARK AND RECREATION,4,,DEDIC PK/OS--ORD.,N,Y,440385.66445799998,2718.14566843000
T538RS,T538RS,FATHER BROCKHAUS PK ACCES,NEIGHBORHD PARK,0.11800000,SILK TERRACE SLY/SLY ACACIA & 36TH,1289G6,SOUTHEASTERN SAN DIEGO,PARK AND RECREATION,8,,NONE,N,N,5148.74917179000,323.33745397800
