OBJECTID_1,OBJECTID,PARKID,PARKNAME,OWNERNAME,OWNCODE,OWNERTYPE,SHAPE_AREA,SHAPE_LEN
0,0,0,GARDEN ROAD NEIGHBORHOOD PARK,CITY OF POWAY,10,City,211830.83982100000,2306.76189690000
0,0,0,COLLIER POCKET PARK,COUNTY OF SAN DIEGO,20,County,25508.88846190000,639.05505755800
0,0,0,COLLIER POCKET PARK II,COUNTY OF SAN DIEGO,20,County,214182.34418799999,1884.16106249000
0,0,0,ADAMS ELEMENTARY,SAN DIEGO UNIFIED SCHOOL DIST,25,School District,207532.80353000000,2588.07365376000
0,0,0,SPRECKELS ELEMENTARY,SAN DIEGO UNIFIED SCHOOL DIST,25,School District,447745.02356800000,2716.53744890000
0,965,815,BLACK MTN RCH COMM PARK,CITY OF SAN DIEGO,10,City,1870059.77096999995,5820.42404925000
0,966,816,PENASQUITOS TOWN CTR PK,CITY OF SAN DIEGO,10,City,83123.53687710001,1811.02447171000
0,968,818,SOUTH VILLAGE PARK,CITY OF SAN DIEGO,10,City,190349.46847500000,2050.78057621000
0,970,820,MOUNTAIN VIEW PARK,CITY OF SAN DIEGO,10,City,178806.37773700000,1778.32883018000
0,972,822,,PRIVATE,500,Private,9696.89439741000,790.09893368800
0,973,823,,CITY OF SAN DIEGO,10,City,14805.50208260000,489.54491429300
0,974,824,,PRIVATE,500,Private,7249.11180878000,348.81735624100
0,975,825,,CITY OF SAN DIEGO,10,City,6736.73094731000,527.88373600100
0,976,826,,STATE OF CALIFORNIA,30,State,21287.70555510000,602.78804998800
0,977,827,,STATE OF CALIFORNIA,30,State,561.35070644600,114.50967314700
0,978,828,,STATE OF CALIFORNIA,30,State,5291.02848819000,396.20486955500
0,979,830,,CITY OF SAN DIEGO,10,City,42957.15449880000,1171.01820310000
0,980,831,,OCEANSIDE UNIFIED SCHOOL DISTRICT,25,School Districts,1316145.28166000010,6899.10778136000
0,981,829,,MILITARY HOUSING - THE VILLAGE,41,Military Reservations,52815.68177270000,975.12133851000
0,0,0,SOUTH LANE PARK,COUNTY OF SAN DIEGO,20,County,401878.63574800000,3214.45933588000
0,0,0,ENCANTO COMMUNITY PARK,CITY OF SAN DIEGO,10,City,35146.50954530000,851.07109520000
0,259,259,MARCY PARK,CITY OF SAN DIEGO,10,City,145882.31443299999,1655.92032944000
0,262,262,MARSHALL PARK,CITY OF OCEANSIDE,10,City,131509.16259600001,1526.80002440000
0,263,263,MAST PARK,CITY OF SANTEE,10,City,640589.04618299997,3644.50078633000
0,264,264,MATHEWSON PARK,CITY OF CORONADO,10,City,45611.31127690000,1039.75631344000
0,265,265,MAYFLOWER DOG PARK,CITY OF ESCONDIDO,10,City,242902.59434499999,2822.24165370000
0,266,266,WASHINGTON PARK,CITY OF ESCONDIDO,10,City,397755.06728299998,2601.57494795000
0,267,267,"MCLEOD, ROD PARK",CITY OF ESCONDIDO,10,City,747595.73267699999,5040.10617988000
0,268,268,MEMORIAL COMMUNITY PARK,CITY OF SAN DIEGO,10,City,782928.03743599996,3743.73629388000
0,270,270,MESA VERDE PARK,CITY OF SAN DIEGO,10,City,204071.52254700000,1842.03913868000
0,272,272,MIRA MESA COMMUNITY PARK,CITY OF SAN DIEGO,10,City,659139.59314600006,3591.25289123000
0,273,273,MISSION BAY PARK,CITY OF SAN DIEGO,10,City,47734.62639760000,1006.07538900000
0,275,275,MISSION BAY PARK,CITY OF SAN DIEGO,10,City,36049.08743360000,1203.26232116000
0,276,276,MISSION BAY PARK,CITY OF SAN DIEGO,10,City,546872.21042100003,4073.90595595000
0,277,277,MISSION BAY PARK,CITY OF SAN DIEGO,10,City,931173.55385699996,22412.80217450000
0,278,278,MISSION BAY PARK,CITY OF SAN DIEGO,10,City,268410.56767000002,4710.26098440000
0,280,280,MISSION BAY PARK,CITY OF SAN DIEGO,10,City,532203.00508000003,3266.17522985000
0,281,281,MISSION BAY PARK,CITY OF SAN DIEGO,10,City,797280.30913700000,9084.05627127000
0,283,283,MISSION BAY PARK,CITY OF SAN DIEGO,10,City,98415.12932610000,3045.94354816000
0,284,284,MISSION BAY PARK,CITY OF SAN DIEGO,10,City,9102.94411281000,794.63758029400
0,285,285,MISSION BAY PARK,CITY OF SAN DIEGO,10,City,15869.79443930000,877.16670012400
0,286,286,MISSION BAY PARK,CITY OF SAN DIEGO,10,City,1698530.34868999990,10415.71630380000
0,287,287,MISSION BAY PARK,CITY OF SAN DIEGO,10,City,2803.06290712000,283.26029041400
0,288,288,MISSION BAY PARK,CITY OF SAN DIEGO,10,City,32824.46032710000,1072.27765596000
0,289,289,MISSION BAY PARK,CITY OF SAN DIEGO,10,City,189514.91179899999,5613.36280692000
0,290,290,MISSION BAY PARK,CITY OF SAN DIEGO,10,City,1099791.83746999991,7844.78703700000
0,291,291,MISSION BAY PARK,CITY OF SAN DIEGO,10,City,198798.11269099999,2202.19660025000
0,293,293,MISSION BAY PARK,CITY OF SAN DIEGO,10,City,1606092.75521000009,6400.26547922000
0,294,294,MISSION BAY PARK,CITY OF SAN DIEGO,10,City,998.98548035600,155.23896377400
0,295,295,MISSION BAY PARK,CITY OF SAN DIEGO,10,City,79596.80124410000,1227.01317604000
0,298,298,MISSION BAY PARK,CITY OF SAN DIEGO,10,City,342651.90660500003,13397.48122120000
0,299,299,MISSION BAY PARK,CITY OF SAN DIEGO,10,City,2418749.76023000013,10929.71032560000
0,300,300,MISSION BAY PARK,CITY OF SAN DIEGO,10,City,899090.77435700002,16723.93935130000
