@id,leisure,FIXME,area,wheelchair,source,source_ref,access,operator,name,barrier,surface,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,is_in:city,is_in:country,is_in:country_code,is_in:state,is_in:state_code,designation,amenity
way/114207219,playground,,,,,,,,,,,,,,,,,,,,,,
way/114220820,playground,,,,,,,,,,,,,,,,,,,,,,
way/115489720,playground,,,,,,,,,,,,,,,,,,,,,,
way/115489732,playground,,,,,,,,,,,,,,,,,,,,,,
way/115489808,playground,,,,,,,,,,,,,,,,,,,,,,
way/118397613,playground,,,,,,,,,,,,,,,,,,,,,,
way/118397625,playground,,,,,,,,,,,,,,,,,,,,,,
way/118397626,playground,,,,,,,,,,,,,,,,,,,,,,
way/118660994,playground,,,,,,private,,,,,,,,,,,,,,,,
way/118666006,playground,,,,,,private,,,,,,,,,,,,,,,,
way/119107155,playground,,,,,,private,,,,,,,,,,,,,,,,
way/119695312,playground,,,,,,,,,,,,,,,,,,,,,,
way/119983793,playground,,,,,,,,,,,,,,,,,,,,,,
way/120632767,playground,,,,,,,,,,,,,,,,,,,,,,
way/120714764,playground,,,,,,,,,,,,,,,,,,,,,,
way/120714765,playground,,,,,,,,,,,,,,,,,,,,,,
way/120714769,playground,,,,,,,,,,,,,,,,,,,,,,
way/121020797,playground,,,,,,permissive,Carl's Jr.,,fence,,,,,,,,,,,,,
way/121193147,playground,,,,,,,,,,,,,,,,,,,,,,
way/121193587,playground,,,,,,,,,,,,,,,,,,,,,,
way/121193927,playground,,,,,,,,,,,,,,,,,,,,,,
way/121194039,playground,,,,,,,,,,,,,,,,,,,,,,
way/121194105,playground,,,,,,,,,,,,,,,,,,,,,,
way/121196899,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/121760694,playground,,,,,,,,,,,,,,,,,,,,,,
way/121875850,playground,,,,,,,,,,,,,,,,,,,,,,
way/121964271,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/121980763,playground,,,,,,,,,,,,,,,,,,,,,,
way/122092743,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/122210584,playground,,,,,,,,,,,,,,,,,,,,,,
way/122210686,playground,,,,,,,,,,,,,,,,,,,,,,
way/122210954,playground,,,,,,,,,,,,,,,,,,,,,,
way/122211141,playground,,,,,,,,,,,,,,,,,,,,,,
way/122211305,playground,,,,,,,,,,,,,,,,,,,,,,
way/122212001,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/122212003,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/122212964,playground,,,,,,,,,,,,,,,,,,,,,,
way/122350095,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/122351204,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/122351205,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/122351282,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/122743619,playground,,,,,,,,,,,,,,,,,,,,,,
way/123835472,playground,,,,,,,,,,,,,,,,,,,,,,
way/124693300,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/124826116,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/124826117,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/124952023,playground,,,,bing_imagery,,private,,,,,,,,,,,,,,,,
way/124952025,playground,,,,bing_imagery,,private,,,,,,,,,,,,,,,,
way/124955214,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/124962679,playground,,,,,,,,,,,,,,,,,,,,,,
way/124963014,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/124963555,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/125113004,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/125113199,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/125113200,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/125241329,playground,,,,,,,,,,,,,,,,,,,,,,
way/125696345,playground,,,,,,,,,,,,,,,,,,,,,,
way/125697466,playground,,,,,,private,,,,,,,,,,,,,,,,
way/125843403,playground,,,,,,,,,,,,,,,,,,,,,,
way/125843587,playground,,,,,,,,,,,,,,,,,,,,,,
way/126737090,playground,,,,,,,,,,,,,,,,,,,,,,
way/126737108,playground,,,,,,,,,,,,,,,,,,,,,,
way/126737122,playground,,,,,,,,,,,,,,,,,,,,,,
way/126861172,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/126861173,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/126864755,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/126865542,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/126866181,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/126866188,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/126866440,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/126992008,playground,,,,bing_imagery,,private,,,,,,,,,,,,,,,,
way/127017359,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/127674257,playground,,yes,,,,,,,,,,,,,,,,,,,,
way/127853608,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/127853633,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/127854021,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/128297554,playground,,yes,,,,,,,,,,,,,,,,,,,,
way/128829242,playground,,,,"survey;bing_imagery",,permissive,,Kindergarten Playground,,,,,,,,,,,,,,
way/128836805,playground,,,,bing_imagery,,permissive,,,,,,,,,,,,,,,,
way/128836806,playground,,,,bing_imagery,,permissive,,,,,,,,,,,,,,,,
way/128922397,playground,,,,,,private,KinderCare Learning Center,,,,,,,,,,,,,,,
way/128949590,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/128952837,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/128952838,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/128953442,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/128953752,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/128954045,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/128954097,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/128955452,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/129080983,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/129081054,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/129182908,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/129284945,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/129285039,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/129601415,playground,,,,,,,,,,,,,,,,,,,,,,
way/129732429,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/129898442,playground,,,,,,,,,,,,,,,,,,,,,,
way/130103260,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/130312196,playground,,,,bing_imagery,,,,,,,,,,,,,,,,,,
way/130345031,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/130345033,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/130346156,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/130387054,playground,,,,,,,,,,,,,,,,,,,,,,
way/130387066,playground,,,,,,,,,,paved,,,,,,,,,,,,
way/130507450,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/130542613,playground,,,,,,,,,,,,,,,,,,,,,,
way/130542614,playground,,,,,,,,,,,,,,,,,,,,,,
way/130730448,playground,,,,,,,,,,,,,,,,,,,,,,
way/131173103,playground,,,,bing_imagery,,permissive,,,,,,,,,,,,,,,,
way/131173105,playground,,,,bing_imagery,,permissive,,,,,,,,,,,,,,,,
way/131284869,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/132180910,playground,,,,,,,,,,,,,,,,,,,,,,
way/132225817,playground,,,,,,,,,,,,,,,,,,,,,,
way/132225818,playground,,,,,,,,,,,,,,,,,,,,,,
way/132501161,playground,,,,"survey;bing_imagery",vvvexp97,private,,,,,,,,,,,,,,,,
way/132501162,playground,,,,"survey;bing_imagery",vvvexp97,private,,,,,,,,,,,,,,,,
way/132501163,playground,,,,"survey;bing_imagery",vvvexp97,private,,,,,,,,,,,,,,,,
way/132558407,playground,,,,,,,,,,,,,,,,,,,,,,
way/132561385,playground,,,,,,,,,,,,,,,,,,,,,,
way/132564532,playground,,,,,,,,,,,,,,,,,,,,,,
way/132564541,playground,,,,,,,,,,,,,,,,,,,,,,
way/133125045,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/133125078,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/133125079,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/133427187,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/135935674,playground,,,,bing_imagery,,,,,,,,,,,,,,,,,,
way/138177771,playground,,,,,,,,,,,,,,,,,,,,,,
way/138177776,playground,,,,,,,,,,,,,,,,,,,,,,
way/138180157,playground,,,,,,,,,,,,,,,,,,,,,,
way/138183508,playground,,,,,,,,,,,,,,,,,,,,,,
way/138194856,playground,,,,,,,,,,,,,,,,,,,,,,
way/138387780,playground,,,,bing_imagery,,permissive,Carls Jr.,,,,,,,,,,,,,,,
way/138521827,playground,,,,,,private,,,,,,,,,,,,,,,,
way/139186409,playground,,,,,,private,,,,,,,,,,,,,,,,
way/139631824,playground,,,,bing_imagery,,,,,,,,,,,,,,,,,,
way/140486328,playground,,,,,,private,,,,,,,,,,,,,,,,
way/143178487,playground,,,,bing_imagery,,permissive,,,,,,,,,,,,,,,,
way/143178849,playground,,,,bing_imagery,,permissive,,,,,,,,,,,,,,,,
way/143346884,playground,,,,bing_imagery,,private,,,,,,,,,,,,,,,,
way/143353118,playground,,,,bing_imagery,,permissive,,,,,,,,,,,,,,,,
way/143667069,playground,,,,bing_imagery,,permissive,,,,unpaved,,,,,,,,,,,,
way/143668085,playground,,,,bing_imagery,,permissive,,,,,,,,,,,,,,,,
way/145661663,playground,,,,"survey;bing_imagery",vvvexp97,private,Early Works Child Development Center,,,,,,,,,,,,,,,
way/145662388,playground,,,,"bing_imagery_0.25m_201005;survey;image",AM909_DSCX6182,,,,,,,,,,,,,,,,,
way/150870621,playground,,,,,,,,,,,,,,,,,,,,,,
way/151937306,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/153032306,playground,,,,bing_imagery,,,,,,,,,,,,,,,,,,
way/153032307,playground,,,,bing_imagery,,,,,,,,,,,,,,,,,,
way/153032308,playground,,,,bing_imagery,,,,,,,,,,,,,,,,,,
way/153104365,playground,,,,"bing_imagery_0.25m_201005;survey;image",AM909_DSCX3802,,,,,,,,,,,,,,,,,
way/154392111,playground,,,,,,,,,,,,,,,,,,,,,,
way/154392117,playground,,,,,,,,,,,,,,,,,,,,,,
way/154395253,playground,,,,,,,,Kindergarten Playground,,,,,,,,,,,,,,
way/155100833,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/155103091,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/155103963,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/155507432,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/155507440,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/155532988,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/155532989,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/155533068,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/155737070,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/155737089,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/155747752,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/155748925,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/155750123,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/155750131,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/156278004,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/156278250,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/156417128,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/156576281,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/158439425,playground,,,,bing_imagery,,,,,,,,,,,,,,,,,,
way/159274916,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/164133409,playground,,,,bing_imagery,,permissive,,,,,,,,,,,,,,,,
way/164776967,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/165373171,playground,,,,,,,,,,,,,,,,,,,,,,
way/165665716,playground,,,,,,,,,,,,,,,,,,,,,,
way/165665717,playground,,,,,,,,,,,,,,,,,,,,,,
way/165850239,playground,,,,,,private,,,,,,,,,,,,,,,,
way/165850247,playground,,,,,,private,,,,,,,,,,,,,,,,
way/165850253,playground,,,,,,private,,,,,,,,,,,,,,,,
way/165903181,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/166434428,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/166537208,playground,,,,,,private,,,,,,,,,,,,,,,,
way/166537221,playground,,,,,,private,,,,,,,,,,,,,,,,
way/166537222,playground,,,,,,private,,,,,,,,,,,,,,,,
way/166553872,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/166553878,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/167023231,playground,,,,,,,,,,,,,,,,,,,,,,
way/167970347,playground,,,,,,private,,,,,,,,,,,,,,,,
way/167970504,playground,,,,,,private,,,,,,,,,,,,,,,,
way/168381079,playground,,,,,,private,,,,,,,,,,,,,,,,
way/168381085,playground,,,,,,private,,,,,,,,,,,,,,,,
way/168381088,playground,,,,,,private,,,,,,,,,,,,,,,,
way/168381089,playground,,,,,,private,,,,,,,,,,,,,,,,
way/168381090,playground,,,,,,private,,,,,,,,,,,,,,,,
way/168805272,playground,,,,bing_imagery,,permissive,,,,,,,,,,,,,,,,
way/168805273,playground,,,,bing_imagery,,permissive,,,,,,,,,,,,,,,,
way/168805274,playground,,,,bing_imagery,,permissive,,,,,,,,,,,,,,,,
way/169799194,playground,,,,,,private,,,,,,,,,,,,,,,,
way/170640850,playground,,,,bing_imagery,,permissive,,,,,,,,,,,,,,,,
way/170817992,playground,,,,,,,,,,,,,,,,,,,,,,
way/170974105,playground,,,,bing_imagery,,,,,,,,,,,,,,,,,,
way/171273814,playground,,,,,,private,,,,,,,,,,,,,,,,
way/171273815,playground,,,,,,private,,,,,,,,,,,,,,,,
way/171273818,playground,,,,,,private,,,,,,,,,,,,,,,,
way/171273826,playground,,,,,,private,,,,,,,,,,,,,,,,
way/171273827,playground,,,,,,private,,,,,,,,,,,,,,,,
way/171273831,playground,,,,,,private,,,,,,,,,,,,,,,,
way/171273832,playground,,,,,,private,,,,,,,,,,,,,,,,
way/171273833,playground,,,,,,private,,,,,,,,,,,,,,,,
way/171273919,playground,,,,,,private,,,,,,,,,,,,,,,,
way/179048310,playground,,,,bing_imagery,,permissive,,,,,,,,,,,,,,,,
way/179049820,playground,,,,bing_imagery,,permissive,,,,,,,,,,,,,,,,
way/179051905,playground,,,,bing_imagery,,permissive,,,,,,,,,,,,,,,,
way/179341015,playground,,,,bing_imagery,,permissive,,,,,,,,,,,,,,,,
way/179341023,playground,,,,bing_imagery,,permissive,,,,,,,,,,,,,,,,
way/186840993,playground,,,,,,,,,,,,,,,,,,,,,,
way/187147812,playground,,,,bing_imagery,,permissive,,,,,,,,,,,,,,,,
way/189986171,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/189986535,playground,,,,Bing,,,,,,,,,,,,,,,,,,
